antecedents,consequents,support,confidence,lift
"term_ 36 months, int_rate_bin_Very Low (<8%)","grade_A, installment_bin_Low",0.056,0.348,5.301
"grade_A, installment_bin_Low","term_ 36 months, int_rate_bin_Very Low (<8%)",0.056,0.851,5.301
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, grade_A, loan_status_Current",0.05,0.298,5.297
int_rate_bin_Very Low (<8%),"term_ 36 months, home_ownership_MORTGAGE, grade_A",0.089,0.529,5.295
"term_ 36 months, home_ownership_MORTGAGE, grade_A",int_rate_bin_Very Low (<8%),0.089,0.895,5.295
"fico_range_low_bin_High, grade_A","term_ 36 months, int_rate_bin_Very Low (<8%)",0.111,0.849,5.285
"last_fico_range_low_bin_High, grade_A","term_ 36 months, int_rate_bin_Very Low (<8%)",0.101,0.848,5.278
"grade_A, home_ownership_MORTGAGE, loan_status_Fully Paid",int_rate_bin_Very Low (<8%),0.051,0.891,5.27
int_rate_bin_Very Low (<8%),"grade_A, home_ownership_MORTGAGE, loan_status_Fully Paid",0.051,0.299,5.27
int_rate_bin_Very Low (<8%),"term_ 36 months, grade_A, loan_status_Fully Paid",0.085,0.502,5.269
"term_ 36 months, grade_A, loan_status_Fully Paid",int_rate_bin_Very Low (<8%),0.085,0.891,5.269
"term_ 36 months, dti_bin_Low (10-20), grade_A",int_rate_bin_Very Low (<8%),0.073,0.889,5.26
int_rate_bin_Very Low (<8%),"term_ 36 months, dti_bin_Low (10-20), grade_A",0.073,0.434,5.26
"grade_A, fico_range_low_bin_High","int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.06,0.456,5.254
"term_ 36 months, installment_bin_High, grade_A",int_rate_bin_Very Low (<8%),0.05,0.888,5.253
int_rate_bin_Very Low (<8%),"term_ 36 months, installment_bin_High, grade_A",0.05,0.296,5.253
"grade_A, home_ownership_MORTGAGE",int_rate_bin_Very Low (<8%),0.095,0.888,5.251
int_rate_bin_Very Low (<8%),"grade_A, home_ownership_MORTGAGE",0.095,0.564,5.251
int_rate_bin_Very Low (<8%),"term_ 36 months, grade_A, installment_bin_Medium",0.055,0.322,5.248
"term_ 36 months, grade_A, installment_bin_Medium",int_rate_bin_Very Low (<8%),0.055,0.887,5.248
"grade_A, loan_status_Fully Paid",int_rate_bin_Very Low (<8%),0.087,0.887,5.247
int_rate_bin_Very Low (<8%),"grade_A, loan_status_Fully Paid",0.087,0.513,5.247
int_rate_bin_Very Low (<8%),"term_ 36 months, grade_A",0.16,0.949,5.244
"term_ 36 months, grade_A",int_rate_bin_Very Low (<8%),0.16,0.887,5.244
"term_ 36 months, grade_A","installment_bin_High, int_rate_bin_Very Low (<8%)",0.05,0.277,5.241
"term_ 36 months, int_rate_bin_Very Low (<8%)","home_ownership_RENT, grade_A",0.052,0.326,5.236
"home_ownership_RENT, grade_A","term_ 36 months, int_rate_bin_Very Low (<8%)",0.052,0.841,5.236
"grade_A, fico_range_low_bin_High","dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)",0.053,0.406,5.233
int_rate_bin_Very Low (<8%),"term_ 36 months, installment_bin_Low, grade_A",0.056,0.331,5.231
int_rate_bin_Very Low (<8%),"grade_A, dti_bin_Low (10-20)",0.077,0.458,5.227
"grade_A, dti_bin_Low (10-20)",int_rate_bin_Very Low (<8%),0.077,0.884,5.227
"term_ 36 months, grade_A","dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)",0.073,0.405,5.226
int_rate_bin_Very Low (<8%),"term_ 36 months, loan_status_Current, grade_A",0.07,0.412,5.226
"grade_A, fico_range_low_bin_High","term_ 36 months, int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.058,0.444,5.226
grade_A,"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.081,0.425,5.22
"last_fico_range_low_bin_High, term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",grade_A,0.081,1.0,5.22
"term_ 36 months, home_ownership_MORTGAGE, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",grade_A,0.064,1.0,5.22
"term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",grade_A,0.111,1.0,5.22
grade_A,"term_ 36 months, home_ownership_MORTGAGE, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.064,0.334,5.22
grade_A,"last_fico_range_low_bin_High, fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.051,0.269,5.22
grade_A,"term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.058,0.304,5.22
grade_A,"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.058,0.302,5.22
grade_A,"term_ 36 months, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.111,0.582,5.22
"last_fico_range_low_bin_High, fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",grade_A,0.051,1.0,5.22
"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",grade_A,0.058,1.0,5.22
grade_A,"last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)",0.101,0.529,5.219
int_rate_bin_Very Low (<8%),"grade_A, installment_bin_High",0.053,0.312,5.219
grade_A,"last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.055,0.289,5.219
"last_fico_range_low_bin_High, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",grade_A,0.087,1.0,5.219
"grade_A, installment_bin_High",int_rate_bin_Very Low (<8%),0.053,0.882,5.219
grade_A,"last_fico_range_low_bin_High, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.087,0.454,5.219
"grade_A, installment_bin_High","term_ 36 months, int_rate_bin_Very Low (<8%)",0.05,0.838,5.219
"last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)",grade_A,0.101,1.0,5.219
grade_A,"fico_range_low_bin_High, loan_status_Current, int_rate_bin_Very Low (<8%)",0.055,0.286,5.218
"last_fico_range_low_bin_High, loan_status_Current, int_rate_bin_Very Low (<8%)",grade_A,0.05,0.999,5.218
"fico_range_low_bin_High, int_rate_bin_Very Low (<8%), loan_status_Fully Paid",grade_A,0.06,1.0,5.218
grade_A,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.06,0.313,5.218
grade_A,"fico_range_low_bin_High, dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)",0.053,0.278,5.218
grade_A,"last_fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.062,0.325,5.218
"fico_range_low_bin_High, dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)",grade_A,0.053,1.0,5.218
"last_fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",grade_A,0.062,1.0,5.218
"fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",grade_A,0.069,1.0,5.218
grade_A,"last_fico_range_low_bin_High, loan_status_Current, int_rate_bin_Very Low (<8%)",0.05,0.263,5.218
"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",grade_A,0.118,0.999,5.218
grade_A,"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.118,0.618,5.218
grade_A,"fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.069,0.36,5.218
grade_A,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.057,0.296,5.217
"term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",grade_A,0.089,0.999,5.217
grade_A,"term_ 36 months, loan_status_Current, int_rate_bin_Very Low (<8%)",0.07,0.364,5.217
"term_ 36 months, loan_status_Current, int_rate_bin_Very Low (<8%)",grade_A,0.07,0.999,5.217
"term_ 36 months, installment_bin_High, int_rate_bin_Very Low (<8%)",grade_A,0.05,0.999,5.217
"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",grade_A,0.108,0.999,5.217
grade_A,"term_ 36 months, installment_bin_High, int_rate_bin_Very Low (<8%)",0.05,0.261,5.217
grade_A,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.108,0.562,5.217
grade_A,"term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.089,0.467,5.217
grade_A,"term_ 36 months, installment_bin_Medium, int_rate_bin_Very Low (<8%)",0.055,0.285,5.216
grade_A,"term_ 36 months, dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)",0.073,0.383,5.216
grade_A,"term_ 36 months, int_rate_bin_Very Low (<8%)",0.16,0.838,5.216
"term_ 36 months, installment_bin_Medium, int_rate_bin_Very Low (<8%)",grade_A,0.055,0.999,5.216
"term_ 36 months, dti_bin_Low (10-20), int_rate_bin_Very Low (<8%)",grade_A,0.073,0.999,5.216
"term_ 36 months, int_rate_bin_Very Low (<8%)",grade_A,0.16,0.999,5.216
grade_A,"term_ 36 months, int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.085,0.443,5.215
"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%), loan_status_Fully Paid",grade_A,0.051,0.999,5.214
grade_A,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.051,0.264,5.214
