,antecedents,consequents,support,confidence,lift
544,"loan_status_Current, grade_A, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.055,0.722,2.272
599,"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, grade_A",0.069,0.722,5.497
510,"term_ 36 months, fico_range_low_bin_High, grade_A",last_fico_range_low_bin_High,0.089,0.722,2.165
345,"loan_status_Current, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.055,0.721,2.27
549,"loan_status_Current, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, grade_A",0.055,0.721,5.491
312,"term_ 36 months, int_rate_bin_High (16-20%)",grade_D,0.065,0.721,5.024
157,int_rate_bin_Low (8-12%),"term_ 36 months, grade_B",0.212,0.721,3.047
642,"dti_bin_Medium (20-30), grade_B","term_ 36 months, int_rate_bin_Low (8-12%)",0.061,0.718,3.012
634,"grade_B, dti_bin_Low (10-20)","term_ 36 months, int_rate_bin_Low (8-12%)",0.091,0.717,3.005
635,"dti_bin_Low (10-20), int_rate_bin_Low (8-12%)","term_ 36 months, grade_B",0.091,0.716,3.026
1076,"term_ 36 months, home_ownership_MORTGAGE, grade_A, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.064,0.715,2.249
969,"term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.064,0.715,2.248
1085,"term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, grade_A",0.064,0.714,5.44
121,"home_ownership_MORTGAGE, grade_A",fico_range_low_bin_High,0.076,0.707,2.226
111,"loan_status_Current, grade_A",fico_range_low_bin_High,0.061,0.704,2.215
320,"last_fico_range_low_bin_Low, int_rate_bin_High (16-20%)",grade_D,0.059,0.703,4.898
86,"grade_A, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.118,0.702,2.207
324,"fico_range_low_bin_Low, int_rate_bin_High (16-20%)",grade_D,0.064,0.702,4.889
47,int_rate_bin_Very Low (<8%),fico_range_low_bin_High,0.118,0.701,2.205
89,int_rate_bin_Very Low (<8%),"fico_range_low_bin_High, grade_A",0.118,0.7,5.334
